,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,hashtag,Users
0,2022-09-29 22:02:17+00:00,https://twitter.com/is_ugee/status/1575606917677797376,is_ugee,Twitter for Android,"Abakaliki, Nigeria",Thank you so much @enugutechsummit and @williamsuchemba for this. I really do appreciate. I don't take this for granted. God bless the organizers! Thank you Lord. #TxESummitEnugu #TxESummit2022 https://t.co/faYqePvSNo,17,5,0,11,@,@is_ugee
1,2022-09-29 21:34:39+00:00,https://twitter.com/enugutechsummit/status/1575599963995709440,enugutechsummit,Twitter for Android,"Enugu, Nigeria","""CONGRATULATIONS"" 🍾 🎉 you just won a brand new phone, thank you for spreading our message

Please dm us for more information”

#enugutechsummit
#TxESummitEnugu
#TxESummit2022
#TechInspired https://t.co/y2PLkRg2lu",71,9,2,24,@,@enugutechsummit
2,2022-09-29 21:26:18+00:00,https://twitter.com/phavor_n/status/1575597862490361856,phavor_n,Twitter for Android,,#TxESummit #enugutechsummit2022 https://t.co/N4YApFHS02,0,0,0,0,@,@phavor_n
3,2022-09-29 20:48:17+00:00,https://twitter.com/nwafili_/status/1575588298281877504,nwafili_,Twitter for Android,Nigeria,"TxE summit @enugutechsummit was a huge success
#TxESummitEnugu #TxESummit2022 
@Jumiiiee @pikarestiv @lotacodic https://t.co/KKsgLMG5v2",8,1,0,3,@,@nwafili_
4,2022-09-29 20:18:43+00:00,https://twitter.com/Gwbillionz/status/1575580855590064128,Gwbillionz,Twitter for Android,Nigeria,"This event brought out my inner most best what I have inside of me now can take me to d moon, am inspired motivated renewed and now kicking off to d sky with the help of 
#TxESummitEnugu #TxESummit2022 @williamsuchemba https://t.co/YB8zQiMmX1",2,0,0,1,@,@Gwbillionz
5,2022-09-29 19:29:59+00:00,https://twitter.com/joenfavour/status/1575568591528730624,joenfavour,Twitter for iPhone,,#TxESummitEnugu #TxESummit2022 https://t.co/iJVkfTTRTM,1,0,0,0,@,@joenfavour
6,2022-09-29 18:55:26+00:00,https://twitter.com/boohbaeh/status/1575559895683805185,boohbaeh,Twitter Web App,"Awka, Nigeria","*Discipline opens up a separate channel for information to come in.

*Discipline preempts focus.

#TxESummitEnugu
#TxESummit2022 https://t.co/5RjKZqgxzp",2,0,0,0,@,@boohbaeh
7,2022-09-29 18:52:46+00:00,https://twitter.com/caleb__favour/status/1575559225170075649,caleb__favour,Twitter for Android,🇳🇬,"Mr masked @hackSultan 
#TxESummitEnugu https://t.co/r8mBmLRTgh",0,0,0,0,@,@caleb__favour
8,2022-09-29 18:43:45+00:00,https://twitter.com/Ukanda_Filmz/status/1575556957431222273,Ukanda_Filmz,Twitter for Android,,"It was Lite 🔥
#TxESummitEnugu 
#TxESummit2022 
#TxESummit https://t.co/oMvUFYaTbZ",5,0,0,0,@,@Ukanda_Filmz
9,2022-09-29 18:36:57+00:00,https://twitter.com/Gwbillionz/status/1575555244875866112,Gwbillionz,Twitter for Android,Nigeria,"Thanks to Williams uchemba foundation who made it possible for the youth all over Nigeria to gather together to achieve a great goal we were over populated and it was massive, a life changing event that have touched allot of youths
#TxESummitEnugu #TxESummit2022 @williamsuchemba https://t.co/bJbPRmUSm6",3,1,0,1,@,@Gwbillionz
10,2022-09-29 18:35:57+00:00,https://twitter.com/Austadorable/status/1575554991397347328,Austadorable,Twitter for Android,Nigeria,"Since I've chosen to tech it, I won't be leave it till I make it.
So help me God❤️
#TxESummit2022 https://t.co/IRo96ogOqr",10,3,0,0,@,@Austadorable
11,2022-09-29 17:21:40+00:00,https://twitter.com/caleb__favour/status/1575536300492525575,caleb__favour,Twitter for Android,🇳🇬,"#strivingasanenterprenuerinnigeria
@williamsuchemba #TxESummitEnugu 
@enugutechsummit https://t.co/QEr6UWYk2C",0,0,0,0,@,@caleb__favour
12,2022-09-29 17:17:11+00:00,https://twitter.com/caleb__favour/status/1575535170303557632,caleb__favour,Twitter for Android,🇳🇬,"#collinsndukwe
#TxESummit2022 
#TxESummitEnugu 
*Anyone who has the mindset can built one 
*an investment in knowledge pays more
@williamsuchemba https://t.co/44IUeZMWqJ",0,0,0,0,@,@caleb__favour
